"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2237",336.759909347018,-308.371304334239,981.891123028276,-649.883139682812,1323.40295837685
"2238",336.759909347018,-308.371946636354,981.891765330391,-649.884121999128,1323.40394069316
"2239",336.759909347018,-308.372588937829,981.892407631866,-649.885104314466,1323.4049230085
"2240",336.759909347018,-308.373231238665,981.893049932702,-649.886086628826,1323.40590532286
"2241",336.759909347018,-308.373873538862,981.893692232899,-649.887068942208,1323.40688763624
"2242",336.759909347018,-308.374515838419,981.894334532456,-649.888051254612,1323.40786994865
"2243",336.759909347018,-308.375158137336,981.894976831373,-649.889033566038,1323.40885226007
"2244",336.759909347018,-308.375800435615,981.895619129652,-649.890015876486,1323.40983457052
"2245",336.759909347018,-308.376442733253,981.89626142729,-649.890998185956,1323.41081687999
"2246",336.759909347018,-308.377085030252,981.896903724289,-649.891980494448,1323.41179918848
"2247",336.759909347018,-308.377727326612,981.897546020649,-649.892962801962,1323.412781496
"2248",336.759909347018,-308.378369622332,981.898188316369,-649.893945108498,1323.41376380253
"2249",336.759909347018,-308.379011917413,981.89883061145,-649.894927414056,1323.41474610809
"2250",336.759909347018,-308.379654211854,981.899472905891,-649.895909718636,1323.41572841267
"2251",336.759909347018,-308.380296505656,981.900115199693,-649.896892022238,1323.41671071628
"2252",336.759909347018,-308.380938798819,981.900757492856,-649.897874324862,1323.4176930189
"2253",336.759909347018,-308.381581091342,981.901399785379,-649.898856626508,1323.41867532055
"2254",336.759909347018,-308.382223383225,981.902042077262,-649.899838927177,1323.41965762121
"2255",336.759909347018,-308.382865674469,981.902684368506,-649.900821226867,1323.4206399209
"2256",336.759909347018,-308.383507965074,981.903326659111,-649.901803525579,1323.42162221962
"2257",336.759909347018,-308.384150255039,981.903968949076,-649.902785823314,1323.42260451735
"2258",336.759909347018,-308.384792544365,981.904611238402,-649.90376812007,1323.42358681411
"2259",336.759909347018,-308.385434833051,981.905253527088,-649.904750415848,1323.42456910989
"2260",336.759909347018,-308.386077121098,981.905895815135,-649.905732710649,1323.42555140469
"2261",336.759909347018,-308.386719408505,981.906538102542,-649.906715004471,1323.42653369851
"2262",336.759909347018,-308.387361695273,981.90718038931,-649.907697297316,1323.42751599135
"2263",336.759909347018,-308.388003981401,981.907822675438,-649.908679589183,1323.42849828322
"2264",336.759909347018,-308.38864626689,981.908464960927,-649.909661880071,1323.42948057411
"2265",336.759909347018,-308.38928855174,981.909107245777,-649.910644169982,1323.43046286402
"2266",336.759909347018,-308.38993083595,981.909749529987,-649.911626458915,1323.43144515295
